时间,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),,,,,
0,0.397,0.92,-0.025,3.845,-2.38,-0.916,91.631,-23.198,22.626,20.9,24.283,-26.833,,,,,
0.005,0.397,0.921,-0.027,3.845,-2.625,-1.953,91.659,-23.192,22.604,20.9,24.292,-26.825,,,,,
0.01,0.397,0.921,-0.027,3.845,-2.625,-1.953,91.681,-23.181,22.582,20.925,24.292,-26.817,,,,,
0.015,0.397,0.921,-0.027,3.845,-2.625,-1.953,91.708,-23.17,22.56,20.925,24.283,-26.775,,,,,
0.02,0.402,0.921,-0.027,3.845,-2.625,-1.953,91.73,-23.159,22.538,20.933,24.267,-26.742,,,,,
0.025,0.402,0.925,-0.033,3.906,-2.686,-1.77,91.758,-23.154,22.516,20.925,24.242,-26.708,,,,,
0.03,0.402,0.925,-0.033,3.906,-2.686,-1.77,91.78,-23.143,22.495,20.908,24.225,-26.642,,,,,
0.035,0.402,0.925,-0.033,3.906,-2.686,-1.77,91.807,-23.137,22.473,20.9,24.225,-26.583,,,,,
0.04,0.409,0.925,-0.033,3.906,-2.686,-1.77,91.835,-23.126,22.451,20.9,24.25,-26.533,,,,,
0.045,0.409,0.927,-0.035,3.662,-2.014,-0.671,91.857,-23.126,22.434,20.908,24.283,-26.525,,,,,
0.05,0.409,0.927,-0.035,3.662,-2.014,-0.671,91.879,-23.121,22.412,20.942,24.308,-26.558,,,,,
0.055,0.409,0.927,-0.035,3.662,-2.014,-0.671,91.901,-23.121,22.396,20.975,24.333,-26.567,,,,,
0.06,0.405,0.927,-0.035,3.662,-2.014,-0.671,91.923,-23.115,22.379,21.017,24.333,-26.617,,,,,
0.065,0.405,0.926,-0.029,3.235,-0.793,0.366,91.939,-23.121,22.363,21.067,24.317,-26.617,,,,,
0.07,0.405,0.926,-0.029,3.235,-0.793,0.366,91.961,-23.121,22.352,21.1,24.283,-26.617,,,,,
0.075,0.405,0.926,-0.029,3.235,-0.793,0.366,91.978,-23.126,22.341,21.142,24.242,-26.633,,,,,
0.08,0.399,0.926,-0.029,3.235,-0.793,0.366,91.994,-23.126,22.33,21.192,24.225,-26.675,,,,,
0.085,0.399,0.923,-0.03,2.563,0.122,0.671,92.005,-23.132,22.324,21.217,24.217,-26.708,,,,,
0.09,0.399,0.923,-0.03,2.563,0.122,0.671,92.016,-23.137,22.319,21.233,24.208,-26.75,,,,,
0.095,0.399,0.923,-0.03,2.563,0.122,0.671,92.032,-23.143,22.313,21.242,24.2,-26.758,,,,,
0.1,0.396,0.923,-0.03,2.563,0.122,0.671,92.043,-23.143,22.308,21.225,24.2,-26.717,,,,,
0.105,0.396,0.917,-0.035,2.197,0.366,0.549,92.054,-23.148,22.302,21.192,24.2,-26.667,,,,,
0.11,0.396,0.917,-0.035,2.197,0.366,0.549,92.065,-23.154,22.297,21.167,24.192,-26.617,,,,,
0.115,0.396,0.917,-0.035,2.197,0.366,0.549,92.071,-23.159,22.297,21.142,24.2,-26.6,,,,,
0.12,0.394,0.917,-0.035,2.197,0.366,0.549,92.082,-23.159,22.291,21.125,24.233,-26.583,,,,,
0.125,0.394,0.916,-0.041,2.136,0.305,0.183,92.093,-23.165,22.286,21.117,24.25,-26.583,,,,,
0.13,0.394,0.916,-0.041,2.136,0.305,0.183,92.104,-23.165,22.28,21.1,24.275,-26.575,,,,,
0.135,0.394,0.916,-0.041,2.136,0.305,0.183,92.115,-23.165,22.275,21.1,24.292,-26.567,,,,,
0.14,0.388,0.916,-0.041,2.136,0.305,0.183,92.126,-23.17,22.269,21.108,24.3,-26.533,,,,,
0.145,0.388,0.921,-0.044,2.014,0.427,0,92.131,-23.17,22.264,21.108,24.308,-26.533,,,,,
0.15,0.388,0.921,-0.044,2.014,0.427,0,92.142,-23.17,22.264,21.108,24.317,-26.55,,,,,
0.155,0.388,0.921,-0.044,2.014,0.427,0,92.153,-23.17,22.258,21.108,24.317,-26.542,,,,,
0.16,0.383,0.921,-0.044,2.014,0.427,0,92.159,-23.17,22.253,21.108,24.308,-26.533,,,,,
0.165,0.383,0.924,-0.046,1.709,0.488,-0.366,92.17,-23.17,22.253,21.108,24.3,-26.517,,,,,
0.17,0.383,0.924,-0.046,1.709,0.488,-0.366,92.175,-23.17,22.247,21.117,24.267,-26.467,,,,,
0.175,0.383,0.924,-0.046,1.709,0.488,-0.366,92.186,-23.17,22.247,21.108,24.242,-26.425,,,,,
0.18,0.379,0.924,-0.046,1.709,0.488,-0.366,92.192,-23.165,22.242,21.1,24.225,-26.4,,,,,
0.185,0.379,0.924,-0.053,1.343,0.366,-1.465,92.203,-23.159,22.242,21.108,24.208,-26.383,,,,,
0.19,0.379,0.924,-0.053,1.343,0.366,-1.465,92.208,-23.154,22.236,21.117,24.225,-26.4,,,,,
0.195,0.379,0.924,-0.053,1.343,0.366,-1.465,92.214,-23.148,22.236,21.125,24.242,-26.383,,,,,
0.2,0.38,0.924,-0.053,1.343,0.366,-1.465,92.219,-23.137,22.231,21.117,24.258,-26.367,,,,,
0.205,0.38,0.92,-0.058,1.221,0.549,-2.319,92.225,-23.126,22.231,21.108,24.275,-26.358,,,,,
0.21,0.38,0.92,-0.058,1.221,0.549,-2.319,92.236,-23.115,22.231,21.1,24.292,-26.342,,,,,
0.215,0.38,0.92,-0.058,1.221,0.549,-2.319,92.241,-23.104,22.231,21.1,24.292,-26.325,,,,,
0.22,0.379,0.92,-0.058,1.221,0.549,-2.319,92.247,-23.093,22.225,21.092,24.283,-26.3,,,,,
